time_sec,left_eye_width,left_eye_height,right_eye_width,right_eye_height,face_width,face_height,nose_width,nose_height,mouth_width,mouth_height,unit
0.0,2.3,0.433,2.916,0.749,12.852,18.504,4.538,4.29,5.735,0.266,cm
4.97,2.646,0.8,2.643,0.795,12.65,13.81,4.247,3.95,4.8,0.019,cm
9.94,2.759,0.674,2.592,0.776,13.048,14.299,4.358,3.997,4.738,0.007,cm
14.91,2.625,0.627,2.536,0.762,13.009,14.139,4.281,3.891,4.68,0.076,cm
19.89,2.909,0.297,2.559,0.38,13.073,14.152,4.356,3.917,4.802,0.016,cm
24.86,2.776,0.656,2.682,0.67,13.378,14.622,4.383,3.841,4.995,0.278,cm
29.83,2.694,0.633,2.774,0.656,13.278,14.67,4.404,3.947,5.295,0.008,cm
34.8,2.553,0.571,2.668,0.66,13.197,14.239,4.369,3.896,5.166,0.007,cm
39.77,2.659,0.685,2.66,0.773,13.22,14.158,4.363,3.883,4.855,0.004,cm
44.74,2.67,0.716,2.62,0.725,13.249,14.213,4.365,3.92,4.854,0.003,cm
49.72,2.654,0.708,2.635,0.724,13.244,14.184,4.316,3.883,4.825,0.006,cm
54.69,2.713,0.648,2.674,0.703,13.289,14.266,4.342,3.897,4.904,0.007,cm
59.66,2.679,0.677,2.644,0.704,13.267,14.245,4.331,3.879,4.831,0.011,cm
64.63,2.702,0.662,2.628,0.692,13.275,14.245,4.315,3.875,4.799,0.008,cm
69.6,2.668,0.669,2.631,0.686,13.271,14.257,4.323,3.872,4.751,0.013,cm
74.57,2.737,0.647,2.627,0.697,13.312,14.34,4.332,3.876,4.728,0.02,cm
79.55,2.651,0.645,2.615,0.683,13.309,14.387,4.292,3.885,4.731,0.018,cm
84.52,2.674,0.639,2.649,0.692,13.352,14.48,4.305,3.9,4.787,0.015,cm
89.49,2.749,0.639,2.659,0.671,13.374,14.451,4.318,3.901,4.779,0.007,cm
94.46,2.695,0.6,2.643,0.683,13.365,14.429,4.329,3.886,4.744,0.004,cm
99.43,2.713,0.638,2.661,0.713,13.348,14.341,4.293,3.861,4.773,0.012,cm
104.4,2.687,0.631,2.652,0.702,13.389,14.491,4.301,3.881,4.851,0.009,cm
109.38,2.813,0.229,2.796,0.202,13.402,14.559,4.244,3.931,4.703,0.004,cm
114.35,2.741,0.572,2.643,0.657,13.424,14.535,4.31,3.905,4.831,0.007,cm
119.32,2.74,0.662,2.673,0.715,13.371,14.454,4.321,3.894,4.78,0.017,cm
124.29,2.7,0.633,2.621,0.685,13.328,14.422,4.319,3.885,4.73,0.009,cm
129.26,2.719,0.543,2.63,0.572,13.377,14.566,4.306,3.932,4.778,0.011,cm
134.23,2.694,0.619,2.637,0.712,13.323,14.369,4.285,3.877,4.733,0.017,cm
139.21,2.689,0.663,2.685,0.699,13.305,14.283,4.287,3.848,4.678,0.004,cm
144.18,2.704,0.623,2.643,0.714,13.3,14.451,4.292,3.907,4.709,0.011,cm
149.15,2.671,0.687,2.685,0.714,13.274,14.635,4.326,3.911,4.682,0.009,cm
154.12,2.684,0.649,2.583,0.681,13.233,14.167,4.365,3.832,4.956,0.006,cm
